id,homeTeam,awayTeam,spread_pick,ml_pick,ou_pick,spread_conf,ou_conf,ml_conf,predicted_margin,predicted_total
401762856,Akron,Kent State,Kent State +7.5,No value,Over,0.5049118995666504,2.3289146423339844,0.6995088,6.995088,51.828915
401762857,Western Michigan,Ohio,Ohio +1.5,No value,Over,6.767325401306152,8.762443542480469,0.52673256,-5.2673254,55.262444
401762860,Miami (OH),Toledo,Toledo -6.5,Miami (OH) ML (200.0),Over,7.474066913127899,8.69732666015625,0.09740669,0.9740669,53.197327
401762858,Central Michigan,Buffalo,Buffalo +2.5,No value,Over,7.385462284088135,11.823429107666016,0.48854622,-4.8854623,56.32343
401762859,Massachusetts,Northern Illinois,Massachusetts +8.5,No value,Over,9.688398361206055,22.21070098876953,1.8188398,-18.188398,65.7107
401761649,Old Dominion,Troy,Troy +9.5,No value,Over,7.642597436904907,3.9327392578125,0.18574026,1.8574026,57.43274
401767414,North Carolina Central,South Carolina State,No line,No line,No line,,,0.10672554,1.0672554,49.50127
401774139,Salisbury,Castleton,No line,No line,No line,,,0.24056296,2.4056296,50.519596
401774313,College Of New Jersey,Christopher Newport,No line,No line,No line,,,0.24056296,2.4056296,50.519596
401774155,MIT,Norwich,No line,No line,No line,,,0.0030487378,-0.030487377,45.861298
401754591,Louisville,Clemson,Clemson +2.5,No value,Over,7.6902546882629395,4.821868896484375,0.51902544,-5.1902547,55.32187
401833370,Augsburg,Hamline University,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401752904,Oregon,Minnesota,Minnesota +25.5,No value,Over,2.867704391479492,11.040054321289062,2.2632296,22.632296,55.540054
401762507,Charlotte,UTSA,UTSA -17.5,No value,Under,4.732300758361816,3.3856887817382812,1.2767699,-12.767699,55.11431
401752772,Texas A&M,South Carolina,South Carolina +19.5,No value,Over,17.54284131526947,3.2220840454101562,0.19571587,1.9571587,53.722084
401777968,Walsh,Northwood (MI),No line,No line,No line,,,0.01920576,0.1920576,48.781166
401777010,Fitchburg State,Westfield State,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401786380,UMass Dartmouth,Plymouth State,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401783919,Bridgewater State,Mass Maritime,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401786486,Worcester St,Framingham State,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401767748,Duquesne,Central Connecticut,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401767452,Youngstown State,Indiana State,No line,No line,No line,,,0.116108894,1.161089,48.48073
401773656,West Virginia State,University Of Charleston (WV),No line,No line,No line,,,0.008069029,-0.080690295,51.321785
401778003,Endicott College,Curry College,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401767263,North Carolina A&T,Monmouth,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401773312,Hartwick,Hilbert College,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773461,Davenport,Ferris State,No line,No line,No line,,,0.009543429,0.09543429,49.3468
401773477,Michigan Tech,Saginaw Valley State,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401773675,Fairmont State,Frostburg State,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401767501,Murray State,North Dakota,No line,No line,No line,,,0.042847157,0.42847157,49.3468
401767402,Norfolk State,Morgan State,No line,No line,No line,,,0.10672554,1.0672554,49.344578
401767760,St. Francis (PA),Long Island University,No line,No line,No line,,,0.20362854,2.0362854,49.50127
401778021,Worcester Polytechnic Institute,Salve Regina,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401762510,Navy,South Florida,South Florida -9.5,Navy ML (290.0),Under,15.7622971534729,9.669811248779297,0.6262297,6.262297,52.83019
401762861,Ball State,Eastern Michigan,Eastern Michigan -2.5,Ball State ML (114.0),Over,4.442715525627136,4.891914367675781,0.19427155,1.9427155,54.391914
401752901,Indiana,Wisconsin,Wisconsin +28.5,No value,Over,4.42473030090332,4.686794281005859,2.407527,24.07527,49.186794
401767663,Sacred Heart,Merrimack,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401773731,Southern Connecticut State,Post University,No line,No line,No line,,,0.13100964,1.3100964,50.803226
401752905,Northwestern,Michigan,Northwestern +10.5,No value,Over,2.6240711212158203,15.619949340820312,1.3124071,-13.124071,57.11995
401756951,Cincinnati,Arizona,Arizona +6.5,Arizona ML (170.0),Under,7.127174377441406,6.016460418701172,0.06271744,-0.6271744,50.48354
401774146,Wilkes,Western Connecticut St,No line,No line,No line,,,0.009543429,0.09543429,49.3468
401756952,Oklahoma State,Kansas State,Kansas State -19.5,No value,Over,5.751284599304199,3.0557022094726562,1.3748715,-13.748715,53.555702
401767767,Mercyhurst,Robert Morris,No line,No line,No line,,,0.01920576,0.1920576,48.48073
401774050,Ithaca College,Cortland,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401777213,Otterbein,Ohio Northern,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401773241,Findlay,Tiffin,No line,No line,No line,,,0.008069029,-0.080690295,48.324036
401767138,Bryant,New Hampshire,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401767677,Columbia,Brown,No line,No line,No line,,,0.24056296,2.4056296,48.89757
401767670,Bucknell,Holy Cross,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401767707,Harvard,Pennsylvania,No line,No line,No line,,,0.0030487378,-0.030487377,49.782684
401788998,Princeton,Yale,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401777323,Coast Guard,Merchant Marine Academy,No line,No line,No line,,,0.0030487378,-0.030487377,49.782684
401783343,FDU-Florham,Reading,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401773863,Shepherd,Seton Hill,No line,No line,No line,,,0.10672554,1.0672554,49.528545
401757174,UConn,Air Force,Air Force +7.5,No value,Under,2.7682809829711914,5.841064453125,0.4731719,4.731719,57.658936
401754597,Pittsburgh,Notre Dame,Pittsburgh +12.5,No value,Over,12.667837142944336,6.543514251708984,2.5167837,-25.167837,61.043514
401774342,Southwestern University,Berry College,No line,No line,No line,,,0.07646595,0.7646595,49.21583
401776983,Biddeford,New England College,No line,No line,No line,,,0.13829455,1.3829454,50.803226
401777001,Misericordia,Kings College (PA),No line,No line,No line,,,0.14234889,1.4234889,50.47588
401776992,Albright,Lebanon Valley,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401767775,Wagner,Stonehill,No line,No line,No line,,,0.24056296,2.4056296,49.50127
401777616,Northwestern (MN),Westminster College (MO),No line,No line,No line,,,0.15304326,1.5304326,48.48073
