Feature,Importance
fpi_diff,0.06712805
wind_high,0.0657553
adj_def_epa_diff,0.0644236
def_explo_diff,0.063633434
temperature,0.06234916
elo_season_diff,0.060487308
adj_off_success_diff,0.059346437
adj_def_success_diff,0.05899299
adj_off_epa_diff,0.058968786
def_success_diff,0.05798918
def_ppa_diff,0.05533669
elo_rolling_diff,0.054995604
off_success_diff,0.05359088
off_explo_diff,0.050500926
off_ppa_diff,0.05020031
is_rainy,0.046645883
talent_diff,0.046407934
sp_diff,0.023247523
def_ppo_diff,0.0
off_ppo_diff,0.0
def_havoc_diff,0.0
off_havoc_diff,0.0
home_adv,0.0
